,Index Name,ind_close_all_17092025.csv,ind_close_all_16092025.csv,ind_close_all_15092025.csv,ind_close_all_12092025.csv,ind_close_all_11092025.csv,ind_close_all_10092025.csv,ind_close_all_09092025.csv,ind_close_all_08092025.csv,ind_close_all_05092025.csv,ind_close_all_04092025.csv,ind_close_all_03092025.csv,ind_close_all_02092025.csv,ind_close_all_01092025.csv
54,Nifty Midcap Select,.04,.34,.15,.35,-.03,1.22,.33,.49,.31,-.27,.51,-.05,2.13
55,NIFTY LargeMidcap 250,.26,.64,.19,.35,.1,.69,.27,.28,.04,-.32,.62,.06,1.33
56,NIFTY SME EMERGE,.37,.38,-.27,.29,.05,.14,.22,.55,.55,.03,.59,.16,-.26
57,Nifty Oil & Gas,.63,.86,.3,.04,1.1,.35,-.3,.24,.1,-.96,.24,.62,1.35
58,Nifty Financial Services 25/50,.08,.4,.18,.82,.18,.85,.13,.21,.24,.25,.5,-.56,.98
59,Nifty Healthcare Index,-.1,.06,-.55,.43,.28,.7,.77,-.4,-.02,-.04,1.08,-.33,.28
60,Nifty500 Multicap 50:25:25,.34,.67,.24,.36,.09,.61,.29,.23,.08,-.33,.66,.16,1.24
61,Nifty Microcap 250,.64,.55,.76,-.08,-.1,.44,.17,.44,-.01,-.65,.99,.85,1.28
62,Nifty Total Market,.34,.66,.14,.36,.12,.54,.3,.23,.04,-.21,.63,.08,1.12
63,Nifty India Digital,.2,.84,.29,-.15,-.15,1.53,.93,-.47,-.1,-.71,.18,.04,1.68
64,Nifty Mobility,.39,1.13,.08,.2,.05,-.57,-.09,2.25,.68,-.12,.61,.17,2.21
65,Nifty India Defence,1.99,.67,.69,4.38,-.16,2.56,-.16,.26,-.35,-1.72,.35,.97,2.25
66,Nifty Financial Services Ex-Bank,-.02,.04,.48,1.18,-.36,.92,.21,.38,.67,.37,.55,-.03,1.81
67,Nifty Housing,.24,1.01,.23,.29,.18,.26,-.12,.25,-.17,-.26,.84,.1,1.19
68,Nifty Transportation & Logistics,.44,1.31,-.1,.15,-.01,-.86,-.16,2.38,.94,.37,.73,-.1,2.35
69,Nifty MidSmall Financial Services,.39,.1,.51,.22,-.81,.64,.2,.51,.78,-.55,1.16,-.14,2.12
70,Nifty MidSmall Healthcare,-.44,-.23,-.3,.38,.53,.75,.37,-.13,.18,-.12,1.53,-.12,.87
71,Nifty MidSmall IT & Telecom,.34,1.03,.23,.29,-.14,3.28,1.77,-.03,-.19,-.94,-.38,-.59,1.85
72,Nifty MidSmall India Consumption,-.05,.13,.62,.04,.07,.6,-.15,-.12,-.19,-.15,.43,.51,1.66
73,Nifty REITs & InvITs,-.44,1.18,2.29,.1,-.09,.99,.4,-.01,.07,.17,.15,.03,-.19
74,Nifty Consumer Durables,-.3,.8,-.16,.03,-.29,-.3,-.12,-.34,-.01,.06,.81,.24,2.08
75,Nifty Non-Cyclical Consumer,.04,.2,.07,-.54,.19,.05,.02,-.4,-.31,.09,.57,.38,.93
76,Nifty India Manufacturing,.34,1,-.02,.78,.16,.01,.12,1.12,.37,-.28,1.04,.18,1.74
77,NIFTY100 Alpha 30,.3,.71,.02,.22,.15,.36,.12,.22,.06,.14,.73,-.02,1.09
78,NIFTY500 Value 50,.64,1.1,.14,.33,.68,.47,-.21,.23,.41,-.83,1.19,.53,1.65
79,Nifty100 Low Volatility 30,.08,.51,-.43,.01,-.13,.29,.63,-.05,-.26,.12,.3,.14,.8
80,NIFTY Alpha Low-Volatility 30,-.09,.56,-.15,.32,.1,.57,.64,.01,-.28,.21,.34,-.14,.81
81,NIFTY Quality Low-Volatility 30,.01,.43,-.25,-.03,-.02,.37,.71,-.03,-.34,.26,.19,.3,1.07
82,NIFTY Alpha Quality Low-Volatility 30,-.02,.4,-.23,.06,-.13,.61,.7,.17,-.34,.25,.14,.47,1.09
83,NIFTY Alpha Quality Value Low-Volatility 30,.08,.47,-.46,.01,-.07,.7,.79,.07,-.25,.09,.26,.22,1.08
84,NIFTY200 Quality 30,.22,.47,-.21,.12,-.08,1.34,.59,-.12,-.61,.16,.16,.5,1.5
85,NIFTY Midcap150 Quality 50,.31,.73,.12,.39,.07,1.62,.15,.19,-.7,-.19,.44,.23,2.01
86,Nifty200 Momentum 30,.05,.44,.13,.9,-.26,.9,.27,.19,.25,-.33,.53,-.12,1.41
87,Nifty100 ESG Sector Leaders,.28,.53,-.12,.37,.09,.28,.47,.21,.1,.06,.47,-.12,1
88,Nifty200 Alpha 30,.08,.39,.17,.51,-.18,1.09,.24,.03,.1,-.79,.75,.02,1.81
89,Nifty Midcap150 Momentum 50,.16,.5,.27,.34,-.25,.97,.23,.27,-.07,-.97,.61,-.15,1.84
90,Nifty Smallcap250 Quality 50,.82,.49,.42,.15,.08,.54,.43,.02,-.28,-.52,.41,.62,1.66
91,NIFTY100 ESG,.31,.55,-.08,.24,.07,.52,.57,.24,-.02,-.07,.36,-.03,1.29
92,NIFTY100 Enhanced ESG,.3,.54,-.08,.24,.05,.53,.59,.24,-.02,-.06,.35,-.04,1.29
93,NIFTY50 Equal Weight,.37,.67,-.3,.37,.08,.49,.4,.17,.06,-.14,.67,.07,1.22
94,Nifty 50 Futures Index,.36,.66,-.16,.4,.13,.49,.23,.18,.08,.06,.49,-.23,.73
95,Nifty 50 Arbitrage,0,.01,0,.03,.01,-.04,.1,-.02,-.03,.03,.04,.03,.07
96,Nifty Aditya Birla Group,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.2,0,-.03,-.04,.1,.03,-.15,.02,.26,.34,.24,.12,.01
98,Nifty 4-8 yr G-Sec Index,.19,.03,.02,-.02,.06,.01,-.05,.02,.21,.27,.11,.08,0
99,Nifty 11-15 yr G-Sec Index,.18,.03,-.03,.09,.06,0,-.07,.02,.17,.62,.53,.14,.01
100,Nifty 15 yr and above G-Sec Index,.38,.03,.01,.23,-.15,-.15,-.35,.02,.62,.59,.7,.08,-.08
101,Nifty Composite G-sec Index,.22,.02,-.01,.03,.05,0,-.17,.02,.29,.39,.33,.11,0
102,Nifty 10 yr Benchmark G-Sec,.17,.03,-.04,-.07,.09,.05,-.15,.02,.24,.35,.19,.15,.05
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.15,.01,-.06,-.09,.07,.03,-.17,0,.22,.34,.17,.13,.04
104,Nifty 1D Rate Index,.01,.01,.04,.01,.01,.01,.06,.04,.01,.01,.01,.01,.04
105,Nifty50 USD,,.85,-.11,.62,-.26,.43,.55,.13,,-.02,.66,-.14,.84
